Electricity (GWh),Water (Cu m)
255-255-0,0-0-255
594.1,27.08
613.6,27.16
598.2,27.22
653.1,27.44
670.5,27.79
692.3,27.9
647.5,27.93
667.2,27.99
688.5,28.03
664.9,28.07
639.7,28.61
588.9,28.83
447.8,28.85
437.1,28.86
479.7,28.96
533.6,29.08
535,29.15
560.2,29.39
537.4,29.44
528.8,29.49
516.3,29.54
520,29.54
518.6,29.55
478,29.8
465.5,29.87
452.3,29.99
470,30.15
511.3,30.24
522,30.29
533.2,30.3
513.2,30.32
544.2,30.33
541.4,30.36
525.7,30.39
535.2,30.48
495,30.71
473.6,30.81
444.4,30.9
451.8,31
511,31.02
542.8,31.09
556,31.15
563.1,31.18
555,31.24
513.6,31.28
514.7,31.38
547.9,31.45
489.9,31.46
467.1,31.46
472.7,31.56
449.5,31.65
491.5,31.74
544,31.88
572.5,31.89
525.8,31.9
510.1,31.92
519.1,31.97
522.1,32
535.6,32.1
484,32.37
476.4,32.37
460.5,32.38
461.2,32.39
510.5,32.59
556.6,32.6
609.5,32.63
592.7,32.72
572.1,32.83
554.9,32.83
557.4,32.9
562.9,33.01
516,33.02
490.6,33.05
503.9,33.12
547.6,33.16
585,33.18
573.5,33.31
606,33.38
575.2,33.38
539.7,33.4
539.2,33.49
557.8,33.53
581.4,33.53
536.2,33.54
499.3,33.55
461.7,33.58
465.7,33.64
524.4,33.67
565.1,33.7
602.8,33.72
586,33.75
590.6,33.78
582.6,33.79
557.7,33.85
541.1,33.88
505.9,33.9
503.3,33.91
505,33.97
508.6,33.98
540.9,34.01
557.1,34.01
607.9,34.03
594.8,34.06
585.6,34.09
573.2,34.14
560.2,34.16
568.1,34.34
524.8,34.36
513.1,34.41
498,34.42
498.3,34.45
568.3,34.55
601.8,34.59
629.6,34.79
612,34.97
617.5,34.98
560.6,34.99
555,35.1
570.7,35.12
530.1,35.2
509.7,35.4
489.3,35.48
488.7,35.49
568.1,35.53
609.5,35.6
639,35.65
628.1,35.75
635.5,35.8
592.4,35.92
580.9,35.96
611.5,35.99
571.8,36.21
525.2,36.35
493.6,36.4
513.9,36.47
594.2,36.47
610.7,36.56
632.3,36.75
647,36.85
656.7,36.92
635.7,36.94
643.6,37.03
645.7,37.09
622.4,37.32
570.2,37.46
580.4,37.47
585.3,37.67
648.6,37.68
689.1,37.86
708.5,37.9
642.2,37.9
647,37.91
647.7,37.93
650.5,38.02
644.8,38.03
575.1,38.2
567.2,38.23
574,38.24
533.1,38.29
583.7,38.36
619.9,38.45
649,38.52
698.1,38.52
630.2,38.59
613.1,38.96
622.1,39.46
622.2,39.73
583.2,40.05
558.7,40.27
522,41.68
532.6,42.09
609.9,43.71
638.1,44.44
675.4,44.78
633,44.95
618.3,45.18
630.6,45.23
630.7,46.05
608.6,46.12
563.5,46.17
565.5,46.55
599.5,46.57
620.6,46.71
669.9,47
663.3,47.27
869.7,47.36
886.7,47.64
343.4,47.8
356,47.97
340.9,48.4
374.6,48.87
385.9,48.93
400.5,48.99
379,49.06
389.6,49.15
397.3,49.36
380.2,49.5
367.5,49.8
340.1,49.83
280.7,49.93
270.8,50.33
295.4,50.39
331.6,50.5
330.5,50.59
347.9,50.86
335.3,50.97
330.1,51.01
321,51.05
319,51.1
319.7,51.13
295.4,51.31
289.6,51.32
277.9,51.36
286.1,51.39
311.8,51.47
318.9,51.6
329,51.63
317.4,51.86
334.9,51.91
331.8,52
320,52.2
327.2,52.2
302.4,52.21
291.5,52.44
271.6,52.48
274.4,52.52
311.5,52.57
330.2,52.58
340.3,52.88
343.6,53.01
340.6,53.26
315.6,53.31
314.5,53.32
333.8,53.36
299.9,53.5
288.5,53.52
288.6,53.56
272.2,53.62
303.2,53.74
333.1,53.92
345.5,53.97
323.7,54.09
312.8,54.11
319.2,54.14
318.8,54.28
323.9,54.4
294.4,54.42
290.8,54.76
280.3,54.79
279,55.49
310.2,55.5
336.4,55.5
370.9,55.6
359.9,55.66
349.7,55.71
337.5,55.74
337.8,55.77
339,55.78
310.9,55.87
298.7,56.02
302.9,56.02
325.9,56.06
352,56.29
345.9,56.31
365.6,56.35
349.9,56.51
331.2,56.55
328.3,56.72
335.8,56.81
351.2,56.81
323.7,56.83
303.6,57.02
279.3,57.07
279.9,57.18
314.6,57.21
337.9,57.25
364.7,57.32
354.9,57.35
356.5,57.4
354,57.51
335.3,57.52
326,58.04
304.8,58.09
303.9,58.14
301.5,58.26
303.3,58.32
323.8,58.37
334,58.5
364.7,58.53
357.5,58.56
351,58.6
344.2,58.89
333.8,59.06
338.5,59.24
313.8,59.27
310,59.41
298,59.42
295.5,59.48
339.1,59.82
354.8,59.95
378.6,60.18
369.4,60.28
373.2,60.6
337.2,60.79
326.3,60.86
340.1,60.95
316.5,60.95
307.1,60.99
293.9,61.07
288.3,61.15
335.5,61.2
359.6,61.31
383.6,61.36
376.7,61.75
382.4,61.83
355.3,61.99
341.4,62.06
362.1,62.21
339.7,62.22
314.6,62.24
294.9,62.81
303,62.96
349.8,63.02
359.2,63.06
374.7,63.07
384.5,63.23
394.6,63.3
380.3,63.55
379.3,63.57
379,63.81
370.3,63.9
336.7,63.97
344.5,64.22
344.1,64.36
379.1,64.48
402.7,64.57
416.8,64.7
382.9,64.7
385.2,64.75
385.2,64.77
382,64.86
382.3,64.9
338.8,65.05
335.4,65.31
337,65.67
312.4,66.33
341.6,66.49
364,66.72
376.8,66.99
420.9,67.05
369.2,67.54
358,68.85
363.5,68.91
368.5,69.23
339.8,69.81
328.3,70.85
308.1,86.97
309,88.67